vertical,class_code,class_of_business,lines_of_business,gl_eligible,excess_eligible,property_eligible,cyber_eligible,package_eligible,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,98111,"Office Machines or Appliances–Installation, Inspection, Adjustment or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,7,4,1,57.1,20.0,Limited appetite – low volume
Contractors,95505,Guniting or Shot-Crete,GL,YES,NO,NO,NO,NO,5,3,2,60.0,40.0,Limited appetite – low volume
Contractors,98308,Painting–Shop Only,GL,YES,NO,NO,NO,NO,5,3,0,60.0,0.0,Limited appetite – low volume
Contractors,99003,Sign Painting or Lettering–Inside of Buildings,"Excess Standalone, GL",YES,YES,NO,NO,NO,6,3,0,50.0,0.0,Limited appetite – low volume
Contractors,99165,Steam Pipe or Boiler Insulation,GL,YES,NO,NO,NO,NO,5,2,0,40.0,0.0,Edge / rare class – verify eligibility before quoting
Contractors,91507,Clay or Shale Digging,GL,YES,NO,NO,NO,NO,1,1,0,100.0,0.0,Edge / rare class – verify eligibility before quoting
Contractors,91591,Contractors–Subcontracted Work–Other Than Construction-Related Work,GL,YES,NO,NO,NO,NO,4,1,1,25.0,50.0,Edge / rare class – verify eligibility before quoting
Contractors,95487,Greenhouse Erection,GL,YES,NO,NO,NO,NO,5,1,1,20.0,33.3,Edge / rare class – verify eligibility before quoting
Cyber,524210,Insurance Agencies and Brokerages,Cyber,NO,NO,NO,YES,NO,84,34,15,40.5,27.3,Moderate appetite – converts well
Cyber,541511,Custom Computer Programming Services,Cyber,NO,NO,NO,YES,NO,35,11,6,31.4,25.0,Moderate appetite – converts well
Cyber,541512,Computer Systems Design Services,Cyber,NO,NO,NO,YES,NO,14,7,1,50.0,11.1,Limited appetite – low volume
Cyber,541219,Other Accounting Services,Cyber,NO,NO,NO,YES,NO,8,5,0,62.5,0.0,Limited appetite – low volume
Cyber,541613,Marketing Consulting Services,Cyber,NO,NO,NO,YES,NO,15,4,3,26.7,37.5,Limited appetite – low volume
Cyber,721110,Hotels (except Casino Hotels) and Motels,Cyber,NO,NO,NO,YES,NO,10,4,1,40.0,14.3,Limited appetite – low volume
Cyber,813410,Civic and Social Organizations,Cyber,NO,NO,NO,YES,NO,5,4,2,80.0,40.0,Limited appetite – low volume
Cyber,238210,Electrical Contractors and Other Wiring Installation Contractors,Cyber,NO,NO,NO,YES,NO,4,3,0,75.0,0.0,Limited appetite – low volume
Cyber,238990,All Other Specialty Trade Contractors,Cyber,NO,NO,NO,YES,NO,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,484121,"General Freight Trucking, Long-Distance, Truckload",Cyber,NO,NO,NO,YES,NO,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,488510,Freight Transportation Arrangement,Cyber,NO,NO,NO,YES,NO,3,3,1,100.0,33.3,Limited appetite – low volume
Cyber,531210,Offices of Real Estate Agents and Brokers,Cyber,NO,NO,NO,YES,NO,7,3,0,42.9,0.0,Limited appetite – low volume
Cyber,541213,Tax Preparation Services,Cyber,NO,NO,NO,YES,NO,9,3,2,33.3,33.3,Limited appetite – low volume
